2013-08, 1.04086190, 0.9410, 0.4444, 0.05372
2013-07, 1.04032273, 0.9519, 0.4617, 0.05246
2013-06, 1.03146500, 0.9734, 0.4746, 0.05283
2013-05, 1.01985909, 1.0105, 0.5006, 0.05118
2013-04, 1.01869545, 1.0573, 0.5090, 0.05138
2013-03, 1.02473000, 1.0597, 0.5169, 0.05179
2013-02, 1.00984737, 1.0410, 0.5117, 0.05294
2013-01, 0.99213182, 1.0417, 0.4890, 0.05165
2012-12, 0.98956842, 1.0361, 0.4760, 0.05149
2012-11, 0.99704762, 1.0372, 0.4822, 0.05049
2012-10, 0.98720455, 1.0166, 0.4863, 0.05136
2012-09, 0.97829474, 1.0180, 0.4826, 0.05095
2012-08, 0.99214091, 1.0386, 0.4892, 0.04928
2012-07, 1.01393333, 1.0445, 0.4990, 0.04895
2012-06, 1.02807143, 1.0265, 0.5019, 0.05031
2012-05, 1.00984091, 1.0075, 0.5105, 0.05105
2012-04, 0.99263000, 1.0275, 0.5354, 0.05268
2012-03, 0.99385455, 1.0460, 0.5536, 0.05323
2012-02, 0.99652857, 1.0697, 0.5803, 0.05273
2012-01, 1.01326190, 1.0547, 0.5676, 0.05117
2011-12, 1.02378500, 1.0359, 0.5569, 0.05284
2011-11, 1.02581905, 1.0352, 0.5730, 0.05455
2011-10, 1.01982500, 1.0363, 0.5762, 0.05635
2011-09, 1.00260000, 1.0240, 0.5738, 0.05609
2011-08, 0.98283636, 1.0300, 0.6148, 0.05807
2011-07, 0.95530000, 1.0296, 0.6113, 0.05606
2011-06, 0.97675000, 1.0369, 0.6158, 0.05794
2011-05, 0.96797619, 1.0340, 0.6004, 0.05696
2011-04, 0.95821500, 1.0137, 0.6047, 0.05705
2011-03, 0.97659130, 0.9875, 0.5891, 0.05610
2011-02, 0.98755500, 0.9958, 0.5925, 0.05555
2011-01, 0.99384500, 0.9887, 0.5928, 0.05445
2010-12, 1.00774762, 1.0012, 0.5948, 0.05302
2010-11, 1.01280000, 1.0010, 0.5910, 0.05604
2010-10, 1.01797500, 0.9993, 0.6044, 0.05766
2010-09, 1.03308571, 0.9708, 0.6011, 0.05490
2010-08, 1.04138571, 0.9367, 0.5917, 0.05412
2010-07, 1.04268571, 0.9155, 0.5894, 0.05286
2010-06, 1.03793182, 0.8859, 0.5749, 0.04921
2010-05, 1.03992000, 0.9059, 0.5737, 0.05083
2010-04, 1.00506190, 0.9311, 0.5721, 0.05327
2010-03, 1.02300435, 0.9331, 0.5729, 0.05437
2010-02, 1.05682000, 0.9361, 0.5735, 0.05566
2010-01, 1.04293500, 0.9523, 0.5856, 0.05698
2009-12, 1.05440000, 0.9518, 0.6019, 0.05899
2009-11, 1.05957500, 0.9739, 0.6127, 0.06112
2009-10, 1.05485238, 0.9561, 0.6069, 0.06036
2009-09, 1.08176190, 0.9325, 0.5947, 0.06222
2009-08, 1.08821000, 0.9087, 0.5895, 0.06051
2009-07, 1.12217727, 0.9022, 0.5801, 0.06120
